 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
 1.0000 0.3344 0.4002 0.4285 0.7791 0.7010 0.6120 0.6420 0.5000 0.5000 0.5000 1.0000
 1.0000 0.3398 0.3622 0.5433 0.5675 0.6158 0.5269 0.3979 0.5147 0.4436 0.5000 1.0000
 1.0000 0.4490 0.6451 0.2286 0.6639 0.6416 0.3147 0.5537 0.4192 0.4131 0.4307 1.0000
 1.0000 0.3751 0.3103 0.3714 0.4113 0.6160 0.5700 0.3902 0.6345 0.4139 0.3386 1.0000
 1.0000 0.1116 0.3067 0.0447 0.1859 0.3096 0.4366 0.5708 0.4402 0.4161 0.4057 1.0000
 1.0000 0.5277 0.2382 0.2276 0.0959 0.3622 0.3779 0.6050 0.7138 0.5115 0.4047 1.0000
 1.0000 0.3657 0.4553 0.1722 0.0980 0.0921 0.4149 0.3524 0.3605 0.5000 0.5143 1.0000
 1.0000 0.6798 0.2847 0.1937 0.1503 0.2237 0.3330 0.3132 0.5000 0.5000 0.5000 1.0000
 1.0000 0.1740 0.6430 0.2462 0.2287 0.3310 0.4352 0.3300 0.3304 0.5000 0.5000 1.0000
 1.0000 0.2987 0.3395 0.2212 0.1830 0.4448 0.4319 0.3226 0.6379 0.6029 0.5000 1.0000
 1.0000 0.2540 0.3069 0.1480 0.2225 0.1201 0.2807 0.4168 0.3245 0.5680 0.5000 1.0000
 1.0000 0.1558 0.3699 0.2637 0.3163 0.5870 0.5427 0.4632 0.6218 0.2957 0.5000 1.0000
 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
 1.0000 0.6759 0.6215 0.4572 0.1556 0.5640 0.4809 0.7475 0.5000 0.5000 0.5000 1.0000
 1.0000 0.7658 0.4424 0.3761 0.3505 0.1713 0.5725 0.3130 0.4671 0.5837 0.5000 1.0000
 1.0000 0.4927 0.4171 0.3978 0.5815 0.4081 0.3451 0.5981 0.5754 0.6552 0.3820 1.0000
 1.0000 0.7271 0.1584 0.4487 0.3924 0.3775 0.4903 0.6245 0.5958 0.3881 0.5761 1.0000
 1.0000 0.5434 0.2950 0.1341 0.4063 0.2132 0.5026 0.6022 0.3557 0.5404 0.2822 1.0000
 1.0000 0.7194 0.4106 0.4252 0.6770 0.6786 0.8873 0.6670 0.6064 0.5313 0.7736 1.0000
 1.0000 0.8160 0.6334 0.7751 0.8322 0.8886 0.7527 0.3501 0.3788 0.5915 0.4202 1.0000
 1.0000 0.5934 0.3464 0.2557 0.6049 0.7938 0.7920 0.3971 0.3266 0.5000 0.5000 1.0000
 1.0000 0.1194 0.1136 0.3027 0.6230 0.9339 0.9162 0.6665 0.6175 0.5007 0.5000 1.0000
 1.0000 0.3629 0.1988 0.3543 0.7836 0.9244 0.9774 0.8654 0.4417 0.7633 0.2663 1.0000
 1.0000 0.3235 0.8099 0.3283 0.8705 0.8750 0.5488 0.4191 0.6230 0.3293 0.4700 1.0000
 1.0000 0.5595 0.3710 0.5095 0.4066 0.4441 0.2944 0.3048 0.2732 0.8278 0.2187 1.0000
 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
 1.0000 0.3184 0.4456 0.7112 0.8174 0.6103 0.6571 0.3386 0.6121 0.5000 0.5000 1.0000
 1.0000 0.4136 0.4554 0.3634 0.6701 0.5771 0.4010 0.5526 0.3880 0.4333 0.4654 1.0000
