35.82 211.14 1
49.19 317.11 1
46.16 264.958 1
48.7591 308.103 1
40.6051 240.849 1
36.85 212.143 1
49.462 316.614 1
46.7 266.772 1
48.8608 308.829 1
38.5604 198.72 1
44.0703 260.123 1
64.5002 432.779 1
35 168.033 1
60.6 168.033 2
41.93 257.973 1
12.4 59.2269 1
23.54 120.419 1
55.2603 334.454 1
4.7 39.1952 1
6.7 39.1952 2
34.5858 203.105 1
57.6 203.105 2
41.72 237.986 1
37.2117 209.56 1
50.3 315.603 1
46.99 263.87 1
49.75 306.509 1
17.42 70.2539 1
9.28 10.1614 1
34.7 214.63 1
56.7 214.63 2
27.0583 132.618 1
49.3 132.618 2
16.3 98.0268 1
26.7 98.0268 2
66.566 383.386 1
111.825 383.386 2
63.5098 346.51 1
24 117.45 1
29.8 152.078 1
50.3 152.078 2
38.02 221.699 1
7.3 28.6749 1
12.5 28.6749 2
41.0306 241.281 1
36.38 209.934 1
49.74 309.03 1
46.81 269.167 1
49.0904 305.042 1
27.04 113.639 1
17.79 50.5262 1
25 170.992 1
41 170.992 2
35.97 175.88 1
9.3 64.7989 1
14.9 64.7989 2
19.05 75.4311 1
13.83 35.8008 1
36.54 211.41 1
27.22 136.828 1
10.1 76.1075 1
16.9 76.1075 2
40.69 238.733 1
36.16 209.616 1
49.41 314.008 1
45.46 265.105 1
48.49 306.072 1
41.196 242.797 1
49.99 312.513 1
45.93 269.963 1
49.1047 307.843 1
45.9945 246.241 1
58.3329 340.959 1
54.2915 297.98 1
57.641 342.117 1
94.6187 342.117 2
40.8435 243.92 1
36.4993 213.639 1
49.4145 313.887 1
45.3 270.855 1
48.9715 309.279 1
37.5491 213.963 1
49.6097 313.169 1
45.16 271.827 1
49.37 309.358 1
42.53 243.105 1
38.35 213.207 1
51 314.531 1
46.4 269.794 1
50.69 309.126 1
35.6296 209.462 1
44.6629 266.167 1
38.012 212.396 1
50.3725 314.22 1
45.723 268.874 1
35.7245 211.678 1
49.2 312.333 1
44.4076 269.198 1
48.3114 307.234 1
82.4257 495.55 1
137.754 495.55 2
86.5565 526.135 1
145.635 526.135 2
107.274 701.291 1
76.3421 463.324 1
97.3942 630.66 1
37.6843 212.942 1
49.35 313.652 1
47.5755 308.616 1
37.9208 244.639 1
38.75 213.963 1
46.0249 271.827 1
38.2652 215.509 1
50.26 316.315 1
45.4123 271.728 1
49.78 311.405 1
