20010609  16101990   29.2500   101.0500      0.000  0.0    0.00    0.00   0.00     620068 0
20010614   6190893   27.2160   102.9350      9.000  0.0    0.00    0.00   0.00     620069 0
20010619  10585020   32.5300   104.5500      3.000  0.0    0.00    0.00   0.00     620070 0
20010623   2483300   29.2700   105.2900     11.000  0.0    0.00    0.00   0.00     620071 0
20010624   8351998   27.6230    99.8070      5.000  0.0    0.00    0.00   0.00     620072 0
20010627   1561350   29.2600   105.3200     15.000  0.0    0.00    0.00   0.00     620073 0
20010705   5154790   32.1200   103.4300      6.000  0.0    0.00    0.00   0.00     620074 0
20010707   7484770   29.2600   101.0500     10.000  0.0    0.00    0.00   0.00     620075 0
20010707   9285740   29.2600   101.0500      9.000  0.0    0.00    0.00   0.00     620076 0
20010709  18133780   27.1700   105.2800      0.000  0.0    0.00    0.00   0.00     620077 0
20010712  13543880   30.0100   102.1800      9.000  0.0    0.00    0.00   0.00     620078 0
20010715  19282954   28.2960   101.0720      7.000  0.0    0.00    0.00   0.00     620079 0
20010725  18245398   27.4730    99.8860      5.000  0.0    0.00    0.00   0.00     620080 0
20010726  10213390   29.2600   101.0400      0.000  0.0    0.00    0.00   0.00     620081 0
20010726  17550596   27.3090   101.2630      5.000  0.0    0.00    0.00   0.00     620082 0
20010726  18272420   28.2690   101.9560      5.000  0.0    0.00    0.00   0.00     620083 0
20010726  19271900   28.4800   103.3500     14.000  0.0    0.00    0.00   0.00     620084 0
20010729   1221090   31.1300   103.1800      8.000  0.0    0.00    0.00   0.00     620085 0
20010805   5592270   29.2600   101.0200      0.000  0.0    0.00    0.00   0.00     620086 0
20010805  18120644   30.3740   103.2050      7.000  0.0    0.00    0.00   0.00     620087 0
20010810   7261946   27.3910   100.8650     11.000  0.0    0.00    0.00   0.00     620088 0
20010810   7310266   27.8830   100.3740      5.000  0.0    0.00    0.00   0.00     620089 0
20010810   8161452   27.5730   100.9370      7.000  0.0    0.00    0.00   0.00     620090 0
20010811  21413976   28.0750   101.6050      5.000  0.0    0.00    0.00   0.00     620091 0
20010831     41590   34.9530   105.9400     12.000  0.0    0.00    0.00   0.00     620092 0
20010831  15172990   29.5300   102.4600      4.000  0.0    0.00    0.00   0.00     620093 0
20010905   2580300   30.2800   101.3700      0.000  0.0    0.00    0.00   0.00     620094 0
20010906  12132344   25.4950   101.9680      5.000  0.0    0.00    0.00   0.00     620095 0
20010906  12461672   27.5580   101.9960     10.000  0.0    0.00    0.00   0.00     620096 0
